rule,present_in_count,present_in,avg_confidence,avg_lift,avg_support,CASE_confidence,CASE_lift,CASE_support,K-emoCon_confidence,K-emoCon_lift,K-emoCon_support,CEAP_confidence,CEAP_lift,CEAP_support,EmoWorker_confidence,EmoWorker_lift,EmoWorker_support,K-emoCon (ext)_confidence,K-emoCon (ext)_lift,K-emoCon (ext)_support,EMBOA_confidence,EMBOA_lift,EMBOA_support
hrv_cvnn_low equals hrv_rmssd_low => hrv_cvnn_low equals hrv_rmssd_low AND hrv_cvnn_low meets valence_medium AND hrv_rmssd_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7103832951945079,0.7103832951945079,0.44591013824884795,0.75,0.75,0.4,0.5263157894736842,0.5263157894736842,0.35714285714285715,,,,0.5652173913043479,0.5652173913043479,0.41935483870967744,1.0,1.0,0.6071428571428571,,,
hrv_cvnn_low equals hrv_sdnn_low => hrv_cvnn_low equals hrv_sdnn_low AND hrv_cvnn_low meets valence_medium AND hrv_sdnn_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7096560846560847,0.7096560846560847,0.5471006144393241,0.8148148148148148,0.8148148148148148,0.7333333333333333,0.5238095238095238,0.5238095238095238,0.39285714285714285,,,,0.5,0.5,0.41935483870967744,1.0,1.0,0.6428571428571429,,,
hrv_cvnn_low equals hrv_cvsd_low => hrv_cvnn_low equals hrv_cvsd_low AND hrv_cvnn_low meets valence_medium AND hrv_cvsd_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7067805383022774,0.7067805383022774,0.4792434715821813,0.761904761904762,0.761904761904762,0.5333333333333333,0.5,0.5,0.35714285714285715,,,,0.5652173913043479,0.5652173913043479,0.41935483870967744,1.0,1.0,0.6071428571428571,,,
(hrv_sdnn_low) => hrv_sdnn_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7045977011494253,0.7045977011494253,0.6331989247311828,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.5,0.5,0.42857142857142855,,,,0.5517241379310345,0.5517241379310345,0.5161290322580645,1.0,1.0,0.8214285714285714,,,
hrv_cvnn_low equals hrv_cvsd_low AND hrv_cvnn_low equals hrv_rmssd_low AND hrv_cvsd_low equals hrv_rmssd_low => hrv_cvnn_low equals hrv_cvsd_low AND hrv_cvnn_low equals hrv_rmssd_low AND hrv_cvnn_low meets valence_medium AND hrv_cvsd_low equals hrv_rmssd_low AND hrv_cvsd_low meets valence_medium AND hrv_rmssd_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7038043478260869,0.7038043478260869,0.43698156682027656,0.75,0.75,0.4,0.5,0.5,0.32142857142857145,,,,0.5652173913043479,0.5652173913043479,0.41935483870967744,1.0,1.0,0.6071428571428571,,,
(hrv_sdnn_high) => hrv_sdnn_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.701221611416514,0.701221611416514,0.6495967741935484,0.8,0.8,0.8,0.5925925925925926,0.5925925925925926,0.5714285714285714,,,,0.5862068965517241,0.5862068965517241,0.5483870967741935,0.8260869565217392,0.8260869565217392,0.6785714285714286,,,
hrv_cvnn_high equals hrv_cvsd_high AND hrv_cvnn_high equals hrv_sdnn_high AND hrv_cvsd_high equals hrv_sdnn_high => hrv_cvnn_high equals hrv_cvsd_high AND hrv_cvnn_high equals hrv_sdnn_high AND hrv_cvnn_high meets arousal_medium AND hrv_cvsd_high equals hrv_sdnn_high AND hrv_cvsd_high meets arousal_medium AND hrv_sdnn_high meets arousal_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7010448916408669,0.7074174406604747,0.39055299539170507,0.7894736842105263,0.7894736842105263,0.5,0.5,0.5,0.32142857142857145,,,,0.7647058823529412,0.7901960784313726,0.41935483870967744,0.7500000000000001,0.7500000000000001,0.32142857142857145,,,
hrv_cvnn_low equals hrv_rmssd_low AND hrv_cvnn_low equals hrv_sdnn_low AND hrv_rmssd_low equals hrv_sdnn_low => hrv_cvnn_low equals hrv_rmssd_low AND hrv_cvnn_low equals hrv_sdnn_low AND hrv_cvnn_low meets valence_medium AND hrv_rmssd_low equals hrv_sdnn_low AND hrv_rmssd_low meets valence_medium AND hrv_sdnn_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.700031328320802,0.700031328320802,0.420852534562212,0.75,0.75,0.4,0.5263157894736842,0.5263157894736842,0.35714285714285715,,,,0.5238095238095238,0.5238095238095238,0.3548387096774194,1.0,1.0,0.5714285714285714,,,
hrv_cvnn_high equals hrv_cvsd_high => hrv_cvnn_high equals hrv_cvsd_high AND hrv_cvnn_high meets arousal_medium AND hrv_cvsd_high meets arousal_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6950187969924813,0.7009711779448622,0.415610599078341,0.7894736842105263,0.7894736842105263,0.5,0.5263157894736842,0.5263157894736842,0.35714285714285715,,,,0.7142857142857143,0.7380952380952381,0.4838709677419355,0.7500000000000001,0.7500000000000001,0.32142857142857145,,,
hrv_cvnn_low equals hrv_cvsd_low AND hrv_cvnn_low equals hrv_sdnn_low AND hrv_cvsd_low equals hrv_sdnn_low => hrv_cvnn_low equals hrv_cvsd_low AND hrv_cvnn_low equals hrv_sdnn_low AND hrv_cvnn_low meets valence_medium AND hrv_cvsd_low equals hrv_sdnn_low AND hrv_cvsd_low meets valence_medium AND hrv_sdnn_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6934523809523809,0.6934523809523809,0.445852534562212,0.75,0.75,0.5,0.5,0.5,0.35714285714285715,,,,0.5238095238095238,0.5238095238095238,0.3548387096774194,1.0,1.0,0.5714285714285714,,,
hrv_cvnn_high equals hrv_cvsd_high AND hrv_cvnn_high equals hrv_rmssd_high AND hrv_cvsd_high equals hrv_rmssd_high => hrv_cvnn_high equals hrv_cvsd_high AND hrv_cvnn_high equals hrv_rmssd_high AND hrv_cvnn_high meets arousal_medium AND hrv_cvsd_high equals hrv_rmssd_high AND hrv_cvsd_high meets arousal_medium AND hrv_rmssd_high meets arousal_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6927083333333334,0.6984375,0.3744239631336405,0.8333333333333334,0.8333333333333334,0.5,0.5,0.5,0.32142857142857145,,,,0.6875,0.7104166666666667,0.3548387096774194,0.7500000000000001,0.7500000000000001,0.32142857142857145,,,
hrv_cvnn_low equals hrv_pnn20_low => hrv_cvnn_low equals hrv_pnn20_low AND hrv_cvnn_low meets valence_medium AND hrv_pnn20_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6909340659340659,0.6909340659340659,0.3350806451612903,0.6923076923076923,0.6923076923076923,0.3,0.5714285714285714,0.5714285714285714,0.2857142857142857,,,,0.5,0.5,0.2903225806451613,1.0,1.0,0.4642857142857143,,,
hrv_cvnn_high equals hrv_sdnn_high => hrv_cvnn_high equals hrv_sdnn_high AND hrv_cvnn_high meets arousal_medium AND hrv_sdnn_high meets arousal_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6884807126511933,0.6942778141004686,0.5617703533026114,0.8214285714285715,0.8214285714285715,0.7666666666666667,0.5,0.5,0.4642857142857143,,,,0.6956521739130435,0.7188405797101448,0.5161290322580645,0.7368421052631579,0.7368421052631579,0.5,,,
hrv_cvnn_high equals hrv_rmssd_high => hrv_cvnn_high equals hrv_rmssd_high AND hrv_cvnn_high meets valence_medium AND hrv_rmssd_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6880463286713286,0.6880463286713286,0.41013824884792627,0.75,0.75,0.5,0.5454545454545454,0.5454545454545454,0.42857142857142855,,,,0.6875,0.6875,0.3548387096774194,0.7692307692307693,0.7692307692307693,0.35714285714285715,,,
hrv_cvnn_high equals hrv_cvsd_high AND hrv_cvnn_high equals hrv_sdnn_high AND hrv_cvsd_high equals hrv_sdnn_high => hrv_cvnn_high equals hrv_cvsd_high AND hrv_cvnn_high equals hrv_sdnn_high AND hrv_cvnn_high meets valence_medium AND hrv_cvsd_high equals hrv_sdnn_high AND hrv_cvsd_high meets valence_medium AND hrv_sdnn_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6870700034399725,0.6870700034399725,0.38308371735791086,0.736842105263158,0.736842105263158,0.4666666666666667,0.5555555555555556,0.5555555555555556,0.35714285714285715,,,,0.7058823529411765,0.7058823529411765,0.3870967741935484,0.7500000000000001,0.7500000000000001,0.32142857142857145,,,
