rule,F_present,F_confidence,F_lift,F_support,M_present,M_confidence,M_lift,M_support
(hrv_pnn50_high) => hrv_pnn50_high meets arousal_medium,True,0.5897,0.6018,0.46,True,0.6964,0.6964,0.5493
(hrv_pnn50_high) => hrv_pnn50_high meets eda_peaks_high,True,0.5641,0.5641,0.44,False,,,
(hrv_pnn50_high) => hrv_pnn50_high meets eda_peaks_medium,False,,,,True,0.6071,0.6158,0.4789
(hrv_pnn50_high) => hrv_pnn50_high meets eda_scr_auc_high,True,0.5128,0.5233,0.4,True,0.5893,0.5893,0.4648
(hrv_pnn50_high) => hrv_pnn50_high meets eda_scr_auc_medium,True,0.5385,0.6261,0.42,True,0.5179,0.5488,0.4085
(hrv_pnn50_high) => hrv_pnn50_high meets eda_std_high,False,,,,True,0.5357,0.5512,0.4225
(hrv_pnn50_high) => hrv_pnn50_high meets valence_medium,True,0.7179,0.7179,0.56,True,0.625,0.625,0.493
(hrv_pnn50_low) => hrv_pnn50_low equals hrv_rmssd_low,True,0.5897,0.7561,0.46,True,0.6346,0.8835,0.4648
(hrv_pnn50_low) => hrv_pnn50_low equals hrv_sdnn_low,True,0.5897,0.7561,0.46,True,0.5962,0.7986,0.4366
(hrv_pnn50_low) => hrv_pnn50_low equals temp_high,True,0.5641,0.6716,0.44,False,,,
(hrv_pnn50_low) => hrv_pnn50_low meets arousal_medium,True,0.6154,0.6279,0.48,True,0.6731,0.6731,0.493
(hrv_pnn50_low) => hrv_pnn50_low meets eda_peaks_high,True,0.5128,0.5128,0.4,True,0.5385,0.5385,0.3944
(hrv_pnn50_low) => hrv_pnn50_low meets eda_scr_auc_high,False,,,,True,0.5,0.5,0.3662
(hrv_pnn50_low) => hrv_pnn50_low meets eda_scr_auc_medium,False,,,,True,0.5385,0.5706,0.3944
(hrv_pnn50_low) => hrv_pnn50_low meets eda_std_high,False,,,,True,0.5,0.5145,0.3662
(hrv_pnn50_low) => hrv_pnn50_low meets valence_medium,True,0.5897,0.5897,0.46,True,0.6538,0.6538,0.4789
(hrv_pnn50_medium) => hrv_pnn50_medium before eda_peaks_medium,True,0.55,0.5851,0.44,False,,,
(hrv_pnn50_medium) => hrv_pnn50_medium before eda_std_medium,False,,,,True,0.5818,0.5818,0.4507
(hrv_pnn50_medium) => hrv_pnn50_medium equals temp_high,True,0.525,0.625,0.42,False,,,
(hrv_pnn50_medium) => hrv_pnn50_medium meets arousal_medium,True,0.6,0.6122,0.48,True,0.6364,0.6364,0.493
(hrv_pnn50_medium) => hrv_pnn50_medium meets eda_peaks_high,True,0.525,0.525,0.42,False,,,
(hrv_pnn50_medium) => hrv_pnn50_medium meets eda_peaks_medium,False,,,,True,0.5091,0.5164,0.3944
(hrv_pnn50_medium) => hrv_pnn50_medium meets eda_scr_amp_low,True,0.525,0.5966,0.42,False,,,
(hrv_pnn50_medium) => hrv_pnn50_medium meets eda_scr_auc_medium,True,0.55,0.6395,0.44,False,,,
(hrv_pnn50_medium) => hrv_pnn50_medium meets valence_medium,True,0.65,0.65,0.52,True,0.6727,0.6727,0.5211
(hrv_rmssd_high) => hrv_rmssd_high before eda_peaks_high,True,0.5641,0.5641,0.44,False,,,
(hrv_rmssd_high) => hrv_rmssd_high before eda_peaks_medium,False,,,,True,0.5714,0.5796,0.4507
(hrv_rmssd_high) => hrv_rmssd_high before eda_scr_auc_high,True,0.5128,0.5233,0.4,False,,,
(hrv_rmssd_high) => hrv_rmssd_high equals hrv_sdnn_high,True,0.7692,0.8945,0.6,True,0.8571,1.0143,0.6761
(hrv_rmssd_high) => hrv_rmssd_high meets arousal_medium,True,0.5385,0.5495,0.42,True,0.625,0.625,0.493
(hrv_rmssd_high) => hrv_rmssd_high meets eda_peaks_medium,True,0.5128,0.5456,0.4,False,,,
(hrv_rmssd_high) => hrv_rmssd_high meets eda_scr_auc_high,False,,,,True,0.6071,0.6071,0.4789
(hrv_rmssd_high) => hrv_rmssd_high meets eda_scr_auc_medium,False,,,,True,0.5179,0.5488,0.4085
(hrv_rmssd_high) => hrv_rmssd_high meets eda_std_high,False,,,,True,0.5893,0.6064,0.4648
(hrv_rmssd_high) => hrv_rmssd_high meets eda_std_medium,True,0.5385,0.6119,0.42,True,0.5179,0.5179,0.4085
(hrv_rmssd_high) => hrv_rmssd_high meets valence_medium,True,0.5897,0.5897,0.46,True,0.5714,0.5714,0.4507
(hrv_rmssd_low) => hrv_rmssd_low before eda_peaks_medium,True,0.5128,0.5456,0.4,True,0.5686,0.5768,0.4085
(hrv_rmssd_low) => hrv_rmssd_low before eda_scr_auc_medium,False,,,,True,0.6078,0.6441,0.4366
(hrv_rmssd_low) => hrv_rmssd_low before eda_std_medium,False,,,,True,0.5294,0.5294,0.3803
(hrv_rmssd_low) => hrv_rmssd_low equals hrv_sdnn_low,True,0.7436,0.9533,0.58,True,0.6471,0.8668,0.4648
(hrv_rmssd_low) => hrv_rmssd_low meets arousal_medium,True,0.5385,0.5495,0.42,True,0.6471,0.6471,0.4648
(hrv_rmssd_low) => hrv_rmssd_low meets eda_peaks_high,False,,,,True,0.5294,0.5294,0.3803
(hrv_rmssd_low) => hrv_rmssd_low meets eda_scr_amp_medium,False,,,,True,0.5098,0.6829,0.3662
(hrv_rmssd_low) => hrv_rmssd_low meets valence_medium,True,0.5385,0.5385,0.42,True,0.7255,0.7255,0.5211
(hrv_rmssd_medium) => hrv_rmssd_medium before arousal_medium,False,,,,True,0.6731,0.6731,0.493
(hrv_rmssd_medium) => hrv_rmssd_medium before eda_peaks_medium,True,0.6316,0.6719,0.48,False,,,
(hrv_rmssd_medium) => hrv_rmssd_medium before valence_medium,False,,,,True,0.6538,0.6538,0.4789
(hrv_rmssd_medium) => hrv_rmssd_medium equals hrv_sdnn_medium,True,0.5263,0.731,0.4,False,,,
(hrv_rmssd_medium) => hrv_rmssd_medium meets arousal_medium,True,0.5789,0.5908,0.44,False,,,
(hrv_rmssd_medium) => hrv_rmssd_medium meets eda_peaks_high,True,0.5,0.5,0.38,False,,,
(hrv_rmssd_medium) => hrv_rmssd_medium meets eda_peaks_medium,False,,,,True,0.6346,0.6437,0.4648
(hrv_rmssd_medium) => hrv_rmssd_medium meets eda_scr_auc_high,False,,,,True,0.5577,0.5577,0.4085
(hrv_rmssd_medium) => hrv_rmssd_medium meets eda_scr_auc_low,True,0.5263,0.6748,0.4,False,,,
(hrv_rmssd_medium) => hrv_rmssd_medium meets eda_scr_auc_medium,True,0.5263,0.612,0.4,False,,,
(hrv_rmssd_medium) => hrv_rmssd_medium meets eda_std_medium,False,,,,True,0.5577,0.5577,0.4085
(hrv_rmssd_medium) => hrv_rmssd_medium meets valence_medium,True,0.6842,0.6842,0.52,False,,,
(hrv_sdnn_high) => hrv_sdnn_high before eda_scr_auc_medium,False,,,,True,0.55,0.5828,0.4648
(hrv_sdnn_high) => hrv_sdnn_high meets arousal_medium,True,0.5349,0.5458,0.46,True,0.6333,0.6333,0.5352
(hrv_sdnn_high) => hrv_sdnn_high meets eda_peaks_high,True,0.5814,0.5814,0.5,False,,,
(hrv_sdnn_high) => hrv_sdnn_high meets eda_peaks_medium,False,,,,True,0.5167,0.524,0.4366
(hrv_sdnn_high) => hrv_sdnn_high meets eda_scr_auc_high,False,,,,True,0.5667,0.5667,0.4789
(hrv_sdnn_high) => hrv_sdnn_high meets eda_scr_auc_low,True,0.5116,0.6559,0.44,False,,,
(hrv_sdnn_high) => hrv_sdnn_high meets eda_std_high,False,,,,True,0.5,0.5145,0.4225
(hrv_sdnn_high) => hrv_sdnn_high meets eda_std_medium,False,,,,True,0.5333,0.5333,0.4507
(hrv_sdnn_high) => hrv_sdnn_high meets valence_medium,True,0.6744,0.6744,0.58,True,0.55,0.55,0.4648
(hrv_sdnn_low) => hrv_sdnn_low before eda_peaks_medium,False,,,,True,0.5283,0.5358,0.3944
(hrv_sdnn_low) => hrv_sdnn_low equals temp_high,True,0.5385,0.641,0.42,False,,,
(hrv_sdnn_low) => hrv_sdnn_low meets arousal_medium,True,0.5128,0.5233,0.4,True,0.6792,0.6792,0.507
(hrv_sdnn_low) => hrv_sdnn_low meets eda_peaks_high,False,,,,True,0.566,0.566,0.4225
(hrv_sdnn_low) => hrv_sdnn_low meets eda_peaks_medium,True,0.5128,0.5456,0.4,False,,,
(hrv_sdnn_low) => hrv_sdnn_low meets eda_scr_auc_high,False,,,,True,0.5094,0.5094,0.3803
(hrv_sdnn_low) => hrv_sdnn_low meets eda_std_medium,False,,,,True,0.566,0.566,0.4225
(hrv_sdnn_low) => hrv_sdnn_low meets valence_medium,True,0.5385,0.5385,0.42,True,0.6038,0.6038,0.4507
(hrv_sdnn_medium) => hrv_sdnn_medium before eda_peaks_high,False,,,,True,0.6154,0.6154,0.4507
(hrv_sdnn_medium) => hrv_sdnn_medium before eda_peaks_medium,True,0.6944,0.7388,0.5,True,0.5385,0.5462,0.3944
(hrv_sdnn_medium) => hrv_sdnn_medium before eda_scr_auc_medium,True,0.6389,0.7429,0.46,False,,,
(hrv_sdnn_medium) => hrv_sdnn_medium before eda_std_medium,False,,,,True,0.5385,0.5385,0.3944
(hrv_sdnn_medium) => hrv_sdnn_medium meets arousal_medium,True,0.6667,0.6803,0.48,True,0.6923,0.6923,0.507
(hrv_sdnn_medium) => hrv_sdnn_medium meets eda_max_medium,False,,,,True,0.5,0.5379,0.3662
(hrv_sdnn_medium) => hrv_sdnn_medium meets eda_peaks_high,True,0.5278,0.5278,0.38,False,,,
(hrv_sdnn_medium) => hrv_sdnn_medium meets eda_scr_amp_low,True,0.5278,0.5997,0.38,False,,,
(hrv_sdnn_medium) => hrv_sdnn_medium meets eda_scr_auc_high,True,0.5278,0.5385,0.38,False,,,
(hrv_sdnn_medium) => hrv_sdnn_medium meets valence_medium,True,0.7222,0.7222,0.52,True,0.7308,0.7308,0.5352
(temp_high) => temp_high before eda_peaks_medium,False,,,,True,0.6271,0.6361,0.5211
(temp_high) => temp_high before eda_std_medium,False,,,,True,0.5254,0.5254,0.4366
(temp_high) => temp_high meets arousal_medium,True,0.6905,0.7046,0.58,True,0.6102,0.6102,0.507
(temp_high) => temp_high meets eda_max_low,True,0.5,0.5208,0.42,False,,,
(temp_high) => temp_high meets eda_peaks_high,True,0.6429,0.6429,0.54,False,,,
(temp_high) => temp_high meets eda_scr_amp_low,True,0.5238,0.5952,0.44,False,,,
(temp_high) => temp_high meets eda_scr_auc_low,True,0.5238,0.6716,0.44,False,,,
(temp_high) => temp_high meets eda_scr_auc_medium,False,,,,True,0.5085,0.5388,0.4225
(temp_high) => temp_high meets valence_medium,True,0.7143,0.7143,0.6,True,0.5254,0.5254,0.4366
(temp_low) => temp_low meets arousal_medium,True,0.5263,0.5371,0.4,True,0.678,0.678,0.5634
(temp_low) => temp_low meets eda_peaks_medium,True,0.5789,0.6159,0.44,False,,,
(temp_low) => temp_low meets eda_scr_auc_high,False,,,,True,0.6271,0.6271,0.5211
(temp_low) => temp_low meets eda_scr_auc_medium,False,,,,True,0.6102,0.6466,0.507
(temp_low) => temp_low meets eda_std_medium,False,,,,True,0.5763,0.5763,0.4789
(temp_low) => temp_low meets valence_medium,True,0.5526,0.5526,0.42,True,0.7627,0.7627,0.6338
(temp_medium) => temp_medium before eda_peaks_high,False,,,,True,0.5714,0.5714,0.4507
(temp_medium) => temp_medium before eda_scr_amp_low,True,0.5143,0.5844,0.36,False,,,
(temp_medium) => temp_medium before eda_scr_auc_medium,False,,,,True,0.6071,0.6434,0.4789
(temp_medium) => temp_medium before eda_std_medium,False,,,,True,0.5714,0.5714,0.4507
(temp_medium) => temp_medium meets arousal_medium,True,0.6857,0.6997,0.48,True,0.7143,0.7143,0.5634
(temp_medium) => temp_medium meets eda_max_low,True,0.5143,0.5357,0.36,False,,,
(temp_medium) => temp_medium meets eda_peaks_medium,True,0.5429,0.5775,0.38,True,0.6071,0.6158,0.4789
(temp_medium) => temp_medium meets eda_scr_auc_medium,True,0.5714,0.6645,0.4,False,,,
(temp_medium) => temp_medium meets eda_std_medium,True,0.5429,0.6169,0.38,False,,,
(temp_medium) => temp_medium meets valence_medium,True,0.8286,0.8286,0.58,True,0.6429,0.6429,0.507
(valence_high) => valence_high before eda_scr_amp_low,False,,,,True,0.5,0.5462,0.3662
(valence_high) => valence_high before eda_scr_auc_medium,True,0.5682,0.6607,0.5,False,,,
(valence_high) => valence_high contains eda_scr_auc_low,False,,,,True,0.5385,0.6267,0.3944
(valence_high) => valence_high is-finished-by eda_peaks_high,False,,,,True,0.6731,0.6731,0.493
(valence_high) => valence_high is-finished-by eda_peaks_medium,True,0.6364,0.677,0.56,False,,,
(valence_high) => valence_high is-finished-by eda_scr_auc_high,False,,,,True,0.5,0.5,0.3662
(valence_high) => valence_high is-finished-by eda_scr_auc_low,True,0.5455,0.6993,0.48,False,,,
(valence_high) => valence_high is-finished-by eda_scr_auc_medium,False,,,,True,0.6154,0.6521,0.4507
(valence_high) => valence_high meets arousal_medium,True,0.6591,0.6725,0.58,True,0.6538,0.6538,0.4789
(valence_high) => valence_high meets eda_max_low,True,0.5455,0.5682,0.48,False,,,
(valence_high) => valence_high meets eda_peaks_high,True,0.6818,0.6818,0.6,False,,,
(valence_high) => valence_high meets eda_peaks_medium,False,,,,True,0.6538,0.6632,0.4789
(valence_high) => valence_high meets eda_std_low,True,0.5909,0.6871,0.52,False,,,
(valence_high) => valence_high meets eda_std_medium,False,,,,True,0.5385,0.5385,0.3944
(valence_high) => valence_high meets hr_medium,True,0.5,0.5814,0.44,False,,,
(valence_high) => valence_high meets valence_high,True,0.6591,0.749,0.58,True,0.6154,0.8402,0.4507
(valence_low) => valence_low before eda_scr_auc_medium,True,0.5111,0.5943,0.46,False,,,
(valence_low) => valence_low before eda_std_high,False,,,,True,0.5645,0.5809,0.493
(valence_low) => valence_low before valence_low,True,0.5556,0.6173,0.5,True,0.6452,0.7388,0.5634
(valence_low) => valence_low contains eda_peaks_medium,True,0.5111,0.5437,0.46,False,,,
(valence_low) => valence_low contains eda_scr_auc_high,False,,,,True,0.5645,0.5645,0.493
(valence_low) => valence_low contains eda_scr_auc_medium,False,,,,True,0.5161,0.5469,0.4507
(valence_low) => valence_low is-finished-by eda_peaks_high,True,0.6222,0.6222,0.56,False,,,
(valence_low) => valence_low is-finished-by eda_scr_amp_low,False,,,,True,0.5,0.5462,0.4366
(valence_low) => valence_low is-finished-by eda_scr_auc_high,True,0.5556,0.5669,0.5,False,,,
(valence_low) => valence_low meets eda_peaks_high,False,,,,True,0.5968,0.5968,0.5211
(valence_medium) => valence_medium contains hr_high,True,0.54,0.6279,0.54,False,,,
(valence_medium) => valence_medium contains hr_medium,True,0.52,0.6047,0.52,False,,,
(valence_medium) => valence_medium is-finished-by eda_peaks_medium,True,0.66,0.7021,0.66,False,,,
(valence_medium) => valence_medium is-finished-by eda_scr_amp_high,False,,,,True,0.5493,0.5652,0.5493
(valence_medium) => valence_medium is-finished-by eda_scr_amp_low,True,0.58,0.6591,0.58,True,0.5352,0.5846,0.5352
(valence_medium) => valence_medium is-finished-by eda_scr_auc_high,False,,,,True,0.7183,0.7183,0.7183
(valence_medium) => valence_medium is-finished-by eda_scr_auc_low,True,0.52,0.6667,0.52,False,,,
(valence_medium) => valence_medium is-finished-by eda_std_medium,True,0.58,0.6591,0.58,False,,,
(valence_medium) => valence_medium meets arousal_medium,True,0.66,0.6735,0.66,False,,,
(valence_medium) => valence_medium meets eda_max_low,False,,,,True,0.5211,0.5211,0.5211
(valence_medium) => valence_medium meets eda_peaks_high,True,0.64,0.64,0.64,True,0.6479,0.6479,0.6479
(valence_medium) => valence_medium meets eda_peaks_medium,False,,,,True,0.7324,0.7429,0.7324
(valence_medium) => valence_medium meets eda_scr_auc_medium,True,0.54,0.6279,0.54,True,0.7324,0.7761,0.7324
(valence_medium) => valence_medium meets valence_medium,True,0.64,0.64,0.64,True,0.7606,0.7606,0.7606
(valence_medium) => valence_medium overlaps eda_std_medium,False,,,,True,0.8169,0.8169,0.8169
(valence_medium) => valence_medium starts arousal_medium,False,,,,True,0.6901,0.6901,0.6901
(valence_medium) => valence_medium starts eda_high,True,0.54,0.54,0.54,False,,,
(valence_medium) => valence_medium starts eda_scr_auc_high,True,0.66,0.6735,0.66,False,,,
(valence_medium) => valence_medium starts eda_std_high,False,,,,True,0.6197,0.6377,0.6197
