rule,F_present,F_confidence,F_lift,F_support,M_present,M_confidence,M_lift,M_support
(eda_peaks_medium) => eda_peaks_medium equals eda_scr_auc_low,True,0.5106,0.6547,0.48,False,,,
(eda_peaks_medium) => eda_peaks_medium equals eda_std_medium,True,0.5957,0.677,0.56,False,,,
(eda_peaks_medium) => eda_peaks_medium is-finished-by eda_scr_auc_low,False,,,,True,0.6,0.6984,0.5915
(eda_peaks_medium) => eda_peaks_medium is-finished-by hr_medium,True,0.5106,0.5938,0.48,False,,,
(eda_peaks_medium) => eda_peaks_medium meets arousal_medium,True,0.5319,0.5428,0.5,False,,,
(eda_peaks_medium) => eda_peaks_medium meets eda_peaks_high,True,0.7447,0.7447,0.7,True,0.6,0.6,0.5915
(eda_peaks_medium) => eda_peaks_medium meets eda_scr_auc_medium,True,0.7234,0.8412,0.68,True,0.6286,0.6661,0.6197
(eda_peaks_medium) => eda_peaks_medium meets eda_std_low,True,0.5532,0.6432,0.52,False,,,
(eda_peaks_medium) => eda_peaks_medium meets valence_medium,True,0.5319,0.5319,0.5,True,0.6143,0.6143,0.6056
(eda_peaks_medium) => eda_peaks_medium overlaps eda_scr_auc_high,False,,,,True,0.5714,0.5714,0.5634
(eda_scr_amp_high) => eda_scr_amp_high equals eda_scr_auc_high,True,0.8511,0.8684,0.8,True,0.8551,0.8551,0.831
(eda_scr_amp_high) => eda_scr_amp_high meets eda_peaks_medium,True,0.617,0.6564,0.58,True,0.5652,0.5733,0.5493
(eda_scr_amp_high) => eda_scr_amp_high meets eda_scr_amp_low,True,0.5745,0.6528,0.54,True,0.5507,0.6016,0.5352
(eda_scr_amp_high) => eda_scr_amp_high meets eda_scr_auc_low,True,0.5745,0.7365,0.54,False,,,
(eda_scr_amp_high) => eda_scr_amp_high starts arousal_medium,True,0.5106,0.5211,0.48,False,,,
(eda_scr_amp_high) => eda_scr_amp_high starts eda_high,True,0.5319,0.5319,0.5,False,,,
(eda_scr_amp_high) => eda_scr_amp_high starts eda_std_high,True,0.617,0.6296,0.58,True,0.7101,0.7307,0.6901
(eda_scr_amp_high) => eda_scr_amp_high starts eda_std_medium,False,,,,True,0.6232,0.6232,0.6056
(eda_scr_amp_high) => eda_scr_amp_high starts valence_medium,False,,,,True,0.6232,0.6232,0.6056
(eda_scr_amp_low) => eda_scr_amp_low before eda_scr_amp_low,False,,,,True,0.5231,0.5714,0.4789
