rule,old_F_present,old_F_confidence,old_F_support,old_M_present,young_F_present,young_F_confidence,young_F_support,young_M_present,old_M_confidence,old_M_support,young_M_confidence,young_M_support
(arousal_medium) => arousal_medium meets eda_std_low,True,0.8333,0.8333,False,False,,,False,,,,
(arousal_medium) => arousal_medium meets eda_std_medium,False,,,False,True,0.7742,0.75,False,,,,
(arousal_medium) => arousal_medium meets hr_high,False,,,False,False,,,True,,,0.5,0.5
(arousal_medium) => arousal_medium meets hr_medium,False,,,False,False,,,True,,,0.5,0.5
(arousal_medium) => arousal_medium starts eda_std_high,False,,,True,False,,,False,0.6744,0.6744,,
(eda_high) => eda_high before eda_scr_auc_medium,True,0.6111,0.6111,False,False,,,False,,,,
(eda_high) => eda_high contains eda_peaks_medium,False,,,True,False,,,False,0.8605,0.8605,,
(eda_high) => eda_high contains eda_scr_amp_high,True,0.5556,0.5556,True,False,,,False,0.6512,0.6512,,
(eda_high) => eda_high contains eda_scr_amp_low,False,,,False,True,0.6562,0.6562,True,,,0.6667,0.6429
(eda_high) => eda_high contains eda_scr_auc_high,False,,,True,True,0.625,0.625,False,0.7907,0.7907,,
(eda_high) => eda_high contains eda_scr_auc_low,False,,,True,False,,,False,0.5814,0.5814,,
(eda_high) => eda_high contains eda_scr_auc_medium,False,,,True,True,0.5625,0.5625,False,0.5814,0.5814,,
(eda_high) => eda_high contains hr_high,True,0.7222,0.7222,False,False,,,False,,,,
(eda_high) => eda_high equals eda_max_high,False,,,True,True,0.6875,0.6875,False,0.9535,0.9535,,
(eda_high) => eda_high equals eda_scr_auc_high,False,,,False,False,,,True,,,0.7407,0.7143
(eda_high) => eda_high equals eda_std_high,True,0.7222,0.7222,True,False,,,False,0.7907,0.7907,,
(eda_high) => eda_high equals hr_high,False,,,False,False,,,True,,,0.5556,0.5357
(eda_high) => eda_high equals valence_medium,False,,,True,True,0.6875,0.6875,False,0.6047,0.6047,,
(eda_high) => eda_high is-finished-by eda_peaks_high,False,,,False,True,0.8125,0.8125,False,,,,
(eda_high) => eda_high is-finished-by eda_peaks_medium,False,,,False,False,,,True,,,0.6667,0.6429
(eda_high) => eda_high is-finished-by eda_scr_amp_high,False,,,False,False,,,True,,,0.5185,0.5
(eda_high) => eda_high is-finished-by eda_scr_amp_low,False,,,True,False,,,False,0.5581,0.5581,,
(eda_high) => eda_high is-finished-by eda_scr_amp_medium,False,,,True,False,,,False,0.6279,0.6279,,
(eda_high) => eda_high is-finished-by eda_scr_auc_high,True,0.8333,0.8333,False,False,,,False,,,,
(eda_high) => eda_high is-finished-by eda_scr_auc_low,False,,,False,True,0.5625,0.5625,False,,,,
(eda_high) => eda_high is-finished-by eda_scr_auc_medium,False,,,False,False,,,True,,,0.5926,0.5714
(eda_high) => eda_high is-finished-by eda_std_medium,False,,,True,False,,,True,0.6047,0.6047,0.6296,0.6071
(eda_high) => eda_high is-finished-by hr_medium,False,,,False,True,0.625,0.625,False,,,,
(eda_high) => eda_high meets arousal_medium,False,,,True,True,0.5625,0.5625,True,0.6279,0.6279,0.5556,0.5357
(eda_high) => eda_high meets eda_high,True,0.8889,0.8889,True,True,0.7188,0.7188,True,0.7442,0.7442,0.8519,0.8214
(eda_high) => eda_high meets eda_max_high,False,,,False,False,,,True,,,0.7037,0.6786
(eda_high) => eda_high meets eda_peaks_high,False,,,False,False,,,True,,,0.7037,0.6786
(eda_high) => eda_high meets eda_peaks_medium,False,,,False,True,0.7188,0.7188,False,,,,
(eda_high) => eda_high meets eda_std_high,False,,,False,False,,,True,,,0.6667,0.6429
(eda_high) => eda_high meets eda_std_medium,False,,,False,True,0.75,0.75,False,,,,
(eda_high) => eda_high meets valence_medium,False,,,False,False,,,True,,,0.6296,0.6071
(eda_high) => eda_high overlaps eda_peaks_medium,True,0.7778,0.7778,False,False,,,False,,,,
(eda_high) => eda_high overlaps eda_scr_amp_low,True,0.7222,0.7222,False,False,,,False,,,,
(eda_high) => eda_high overlaps eda_std_medium,True,0.5556,0.5556,False,False,,,False,,,,
(eda_high) => eda_high starts arousal_medium,True,0.7222,0.7222,False,False,,,False,,,,
(eda_high) => eda_high starts eda_max_high,True,0.8889,0.8889,False,False,,,False,,,,
(eda_low) => eda_low before eda_max_low,False,,,False,True,0.7,0.6562,False,,,,
(eda_low) => eda_low before eda_peaks_medium,False,,,True,False,,,False,0.814,0.814,,
(eda_low) => eda_low before eda_scr_amp_high,False,,,False,True,0.5667,0.5312,False,,,,
