rule,old_F_present,old_F_confidence,old_F_support,old_M_present,young_F_present,young_F_confidence,young_F_support,young_M_present,old_M_confidence,old_M_support,young_M_confidence,young_M_support
(eda_scr_auc_low) => eda_scr_auc_low meets eda_high,False,,,False,True,0.5833,0.4375,False,,,,
(eda_scr_auc_low) => eda_scr_auc_low meets eda_max_low,False,,,False,False,,,True,,,0.5417,0.4643
(eda_scr_auc_low) => eda_scr_auc_low meets eda_peaks_high,True,0.5333,0.4444,False,False,,,False,,,,
(eda_scr_auc_low) => eda_scr_auc_low meets eda_peaks_medium,True,0.7333,0.6111,False,False,,,False,,,,
(eda_scr_auc_low) => eda_scr_auc_low meets eda_scr_auc_high,False,,,True,True,0.5833,0.4375,False,0.6757,0.5814,,
(eda_scr_auc_low) => eda_scr_auc_low meets eda_scr_auc_medium,True,0.8,0.6667,True,False,,,True,0.5135,0.4419,0.75,0.6429
(eda_scr_auc_low) => eda_scr_auc_low meets eda_std_low,True,0.6667,0.5556,False,False,,,False,,,,
(eda_scr_auc_low) => eda_scr_auc_low meets eda_std_medium,False,,,False,True,0.5833,0.4375,False,,,,
(eda_scr_auc_low) => eda_scr_auc_low meets valence_medium,True,0.5333,0.4444,False,False,,,False,,,,
(eda_scr_auc_low) => eda_scr_auc_low starts eda_max_medium,True,0.6667,0.5556,False,False,,,False,,,,
(eda_scr_auc_low) => eda_scr_auc_low starts eda_peaks_medium,False,,,False,False,,,True,,,0.5833,0.5
(eda_scr_auc_low) => eda_scr_auc_low starts eda_scr_amp_low,False,,,False,False,,,True,,,0.5,0.4286
(eda_scr_auc_low) => eda_scr_auc_low starts eda_std_high,False,,,True,False,,,False,0.5405,0.4651,,
(eda_scr_auc_low) => eda_scr_auc_low starts eda_std_medium,False,,,False,False,,,True,,,0.7083,0.6071
(eda_scr_auc_low) => eda_scr_auc_low starts valence_medium,False,,,True,False,,,False,0.5405,0.4651,,
(eda_scr_auc_medium) => eda_scr_auc_medium before eda_max_low,False,,,False,False,,,True,,,0.5385,0.5
(eda_scr_auc_medium) => eda_scr_auc_medium before eda_peaks_high,False,,,False,True,0.52,0.4062,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium before eda_peaks_medium,False,,,True,True,0.6,0.4688,False,0.6829,0.6512,,
(eda_scr_auc_medium) => eda_scr_auc_medium before eda_scr_amp_low,False,,,False,False,,,True,,,0.5385,0.5
(eda_scr_auc_medium) => eda_scr_auc_medium before eda_scr_auc_high,False,,,False,False,,,True,,,0.5,0.4643
(eda_scr_auc_medium) => eda_scr_auc_medium before eda_scr_auc_low,False,,,False,True,0.52,0.4062,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium before eda_scr_auc_medium,True,0.5,0.5,False,False,,,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium before valence_medium,False,,,False,False,,,True,,,0.6538,0.6071
(eda_scr_auc_medium) => eda_scr_auc_medium meets eda_peaks_high,False,,,False,False,,,True,,,0.5385,0.5
(eda_scr_auc_medium) => eda_scr_auc_medium meets eda_scr_amp_low,False,,,False,True,0.6,0.4688,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium meets eda_scr_auc_high,False,,,True,True,0.52,0.4062,False,0.6098,0.5814,,
(eda_scr_auc_medium) => eda_scr_auc_medium meets eda_scr_auc_low,True,0.5556,0.5556,False,False,,,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium meets eda_std_high,False,,,False,False,,,True,,,0.5,0.4643
(eda_scr_auc_medium) => eda_scr_auc_medium meets eda_std_low,False,,,False,False,,,True,,,0.5,0.4643
(eda_scr_auc_medium) => eda_scr_auc_medium meets eda_std_medium,False,,,True,False,,,True,0.7561,0.7209,0.5769,0.5357
(eda_scr_auc_medium) => eda_scr_auc_medium overlaps valence_high,True,0.5,0.5,False,False,,,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium starts arousal_medium,True,0.6667,0.6667,True,True,0.52,0.4062,False,0.5854,0.5581,,
(eda_scr_auc_medium) => eda_scr_auc_medium starts eda_high,False,,,False,True,0.64,0.5,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium starts eda_medium,True,0.6667,0.6667,False,False,,,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium starts eda_peaks_high,True,0.6111,0.6111,False,False,,,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium starts eda_peaks_medium,False,,,False,False,,,True,,,0.7308,0.6786
(eda_scr_auc_medium) => eda_scr_auc_medium starts eda_std_low,True,0.7222,0.7222,False,False,,,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium starts eda_std_medium,True,0.7222,0.7222,False,True,0.6,0.4688,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium starts hr_high,False,,,False,True,0.52,0.4062,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium starts hr_medium,True,0.5,0.5,False,False,,,False,,,,
(eda_scr_auc_medium) => eda_scr_auc_medium starts valence_medium,True,0.6111,0.6111,True,True,0.68,0.5312,False,0.5366,0.5116,,
(eda_std_high) => eda_std_high before eda_peaks_high,True,0.5,0.5,False,False,,,False,,,,
(eda_std_high) => eda_std_high before eda_peaks_medium,False,,,True,True,0.6452,0.625,False,0.6905,0.6744,,
(eda_std_high) => eda_std_high before eda_scr_amp_medium,False,,,True,False,,,False,0.5238,0.5116,,
(eda_std_high) => eda_std_high before eda_scr_auc_medium,True,0.5556,0.5556,True,False,,,False,0.5476,0.5349,,
(eda_std_high) => eda_std_high before eda_std_medium,False,,,False,True,0.7097,0.6875,False,,,,
(eda_std_high) => eda_std_high contains eda_scr_amp_low,False,,,False,True,0.6774,0.6562,False,,,,
(eda_std_high) => eda_std_high is-finished-by eda_scr_auc_high,True,0.6111,0.6111,False,True,0.6774,0.6562,False,,,,
(eda_std_high) => eda_std_high is-finished-by valence_high,True,0.5,0.5,False,False,,,False,,,,
(eda_std_high) => eda_std_high meets eda_max_low,False,,,False,False,,,True,,,0.7037,0.6786
(eda_std_high) => eda_std_high meets eda_peaks_high,False,,,False,True,0.6129,0.5938,True,,,0.6667,0.6429
(eda_std_high) => eda_std_high meets eda_peaks_medium,True,0.6667,0.6667,False,False,,,True,,,0.6296,0.6071
(eda_std_high) => eda_std_high meets eda_scr_amp_high,False,,,True,False,,,False,0.5714,0.5581,,
(eda_std_high) => eda_std_high meets eda_scr_amp_low,True,0.5556,0.5556,False,False,,,False,,,,
(eda_std_high) => eda_std_high meets eda_scr_auc_high,False,,,True,False,,,False,0.6429,0.6279,,
(eda_std_high) => eda_std_high meets eda_scr_auc_low,True,0.5556,0.5556,True,True,0.6129,0.5938,True,0.5476,0.5349,0.5926,0.5714
(eda_std_high) => eda_std_high meets eda_std_medium,True,0.8889,0.8889,True,False,,,True,0.7857,0.7674,0.7778,0.75
(eda_std_high) => eda_std_high meets hr_high,True,0.5,0.5,False,False,,,False,,,,
(eda_std_high) => eda_std_high overlaps eda_scr_amp_low,False,,,False,False,,,True,,,0.7037,0.6786
(eda_std_high) => eda_std_high starts arousal_medium,True,0.6111,0.6111,True,True,0.6452,0.625,False,0.7857,0.7674,,
(eda_std_high) => eda_std_high starts eda_high,False,,,False,True,0.7742,0.75,False,,,,
(eda_std_high) => eda_std_high starts eda_max_high,False,,,False,True,0.5161,0.5,False,,,,
(eda_std_high) => eda_std_high starts valence_medium,True,0.5556,0.5556,True,True,0.6129,0.5938,True,0.7619,0.7442,0.7407,0.7143
(eda_std_low) => eda_std_low before eda_peaks_high,False,,,False,True,0.6154,0.5,True,,,0.7083,0.6071
(eda_std_low) => eda_std_low before eda_scr_auc_medium,False,,,False,True,0.6538,0.5312,False,,,,
(eda_std_low) => eda_std_low equals hr_medium,True,0.5294,0.5,False,False,,,False,,,,
(eda_std_low) => eda_std_low is-finished-by eda_max_medium,True,0.5294,0.5,False,False,,,False,,,,
(eda_std_low) => eda_std_low is-finished-by eda_scr_auc_low,True,0.5294,0.5,False,False,,,False,,,,
(eda_std_low) => eda_std_low is-finished-by eda_scr_auc_medium,True,0.7647,0.7222,False,False,,,False,,,,
(eda_std_low) => eda_std_low is-finished-by valence_high,True,0.5882,0.5556,False,False,,,False,,,,
(eda_std_low) => eda_std_low meets arousal_medium,True,0.6471,0.6111,False,False,,,False,,,,
(eda_std_low) => eda_std_low meets eda_medium,True,0.5882,0.5556,False,False,,,False,,,,
(eda_std_low) => eda_std_low meets eda_peaks_high,True,0.5294,0.5,False,False,,,False,,,,
(eda_std_low) => eda_std_low meets eda_peaks_medium,True,0.7647,0.7222,True,True,0.6154,0.5,True,0.7805,0.7442,0.625,0.5357
(eda_std_low) => eda_std_low meets eda_scr_auc_medium,False,,,True,False,,,True,0.6341,0.6047,0.7083,0.6071
(eda_std_low) => eda_std_low meets eda_std_low,True,0.6471,0.6111,False,False,,,False,,,,
(eda_std_low) => eda_std_low meets eda_std_medium,True,0.6471,0.6111,True,True,0.5385,0.4375,True,0.7317,0.6977,0.6667,0.5714
(eda_std_low) => eda_std_low meets valence_medium,False,,,False,False,,,True,,,0.625,0.5357
(eda_std_low) => eda_std_low starts arousal_medium,False,,,True,False,,,False,0.5122,0.4884,,
(eda_std_medium) => eda_std_medium before valence_medium,False,,,False,False,,,True,,,0.7143,0.7143
(eda_std_medium) => eda_std_medium contains eda_peaks_high,False,,,False,True,0.6296,0.5312,False,,,,
(eda_std_medium) => eda_std_medium contains eda_peaks_medium,False,,,True,False,,,False,0.6279,0.6279,,
(eda_std_medium) => eda_std_medium contains eda_scr_amp_low,False,,,False,True,0.5926,0.5,False,,,,
(eda_std_medium) => eda_std_medium contains eda_scr_auc_high,False,,,False,True,0.5556,0.4688,False,,,,
(eda_std_medium) => eda_std_medium contains eda_scr_auc_low,True,0.5882,0.5556,False,False,,,False,,,,
(eda_std_medium) => eda_std_medium is-finished-by eda_medium,True,0.5882,0.5556,False,False,,,False,,,,
(eda_std_medium) => eda_std_medium is-finished-by eda_scr_auc_medium,False,,,False,False,,,True,,,0.6786,0.6786
(eda_std_medium) => eda_std_medium is-finished-by hr_medium,True,0.5882,0.5556,False,False,,,False,,,,
(eda_std_medium) => eda_std_medium meets arousal_medium,True,0.7059,0.6667,True,False,,,False,0.7209,0.7209,,
(eda_std_medium) => eda_std_medium meets eda_max_low,False,,,False,False,,,True,,,0.5714,0.5714
(eda_std_medium) => eda_std_medium meets eda_peaks_high,True,0.7059,0.6667,False,False,,,False,,,,
(eda_std_medium) => eda_std_medium meets eda_peaks_medium,True,0.5882,0.5556,False,False,,,True,,,0.6071,0.6071
(eda_std_medium) => eda_std_medium meets eda_scr_auc_high,False,,,True,False,,,False,0.5116,0.5116,,
(eda_std_medium) => eda_std_medium meets eda_scr_auc_medium,True,0.7059,0.6667,False,False,,,False,,,,
(eda_std_medium) => eda_std_medium meets eda_std_high,False,,,True,False,,,True,0.5349,0.5349,0.6429,0.6429
(eda_std_medium) => eda_std_medium meets eda_std_low,True,0.8235,0.7778,False,False,,,False,,,,
(eda_std_medium) => eda_std_medium meets eda_std_medium,False,,,True,True,0.5556,0.4688,False,0.5581,0.5581,,
(eda_std_medium) => eda_std_medium meets valence_medium,True,0.6471,0.6111,True,False,,,False,0.6047,0.6047,,
(eda_std_medium) => eda_std_medium overlaps eda_peaks_high,False,,,False,False,,,True,,,0.6786,0.6786
(eda_std_medium) => eda_std_medium overlaps eda_scr_auc_medium,False,,,False,True,0.6296,0.5312,False,,,,
(eda_std_medium) => eda_std_medium starts arousal_medium,False,,,False,True,0.5185,0.4375,False,,,,
(eda_std_medium) => eda_std_medium starts eda_high,False,,,False,True,0.6667,0.5625,False,,,,
(eda_std_medium) => eda_std_medium starts eda_peaks_medium,False,,,False,True,0.5185,0.4375,False,,,,
(eda_std_medium) => eda_std_medium starts hr_medium,False,,,False,True,0.5556,0.4688,False,,,,
(eda_std_medium) => eda_std_medium starts valence_medium,False,,,False,True,0.6296,0.5312,False,,,,
(hr_high) => hr_high before eda_peaks_high,False,,,False,True,0.7407,0.625,False,,,,
(hr_high) => hr_high before eda_peaks_medium,False,,,False,False,,,True,,,0.52,0.4643
(hr_high) => hr_high before eda_std_medium,False,,,False,False,,,True,,,0.68,0.6071
(hr_high) => hr_high equals valence_medium,False,,,True,False,,,False,0.7727,0.3953,,
(hr_high) => hr_high is-finished-by eda_scr_auc_high,False,,,True,False,,,False,0.5909,0.3023,,
(hr_high) => hr_high is-finished-by eda_std_medium,False,,,False,True,0.5185,0.4375,False,,,,
(hr_high) => hr_high meets eda_peaks_high,True,0.5,0.4444,False,False,,,True,,,0.6,0.5357
(hr_high) => hr_high meets eda_peaks_medium,False,,,True,False,,,False,0.6364,0.3256,,
(hr_high) => hr_high meets eda_scr_amp_high,False,,,False,True,0.5556,0.4688,False,,,,
(hr_high) => hr_high meets eda_scr_amp_low,False,,,False,False,,,True,,,0.56,0.5
(hr_high) => hr_high meets eda_scr_auc_high,False,,,False,True,0.6667,0.5625,False,,,,
(hr_high) => hr_high meets eda_scr_auc_medium,False,,,True,False,,,False,0.5455,0.2791,,
(hr_high) => hr_high meets hr_high,False,,,False,True,0.5185,0.4375,False,,,,
(hr_high) => hr_high meets hr_medium,True,0.625,0.5556,True,True,0.6296,0.5312,True,0.6364,0.3256,0.52,0.4643
(hr_high) => hr_high overlaps eda_scr_auc_high,False,,,False,False,,,True,,,0.52,0.4643
(hr_high) => hr_high overlaps eda_std_high,False,,,False,False,,,True,,,0.64,0.5714
(hr_high) => hr_high overlaps eda_std_medium,False,,,True,False,,,False,0.6818,0.3488,,
(hr_high) => hr_high starts arousal_medium,True,0.625,0.5556,True,True,0.5556,0.4688,False,0.7273,0.3721,,
(hr_high) => hr_high starts eda_high,False,,,True,True,0.6296,0.5312,False,0.5909,0.3023,,
(hr_high) => hr_high starts eda_max_high,False,,,True,True,0.5185,0.4375,False,0.5909,0.3023,,
(hr_high) => hr_high starts eda_peaks_medium,True,0.5625,0.5,False,False,,,False,,,,
(hr_high) => hr_high starts eda_scr_amp_low,True,0.5,0.4444,False,False,,,False,,,,
(hr_high) => hr_high starts eda_std_high,False,,,False,True,0.7037,0.5938,False,,,,
(hr_high) => hr_high starts valence_medium,True,0.5,0.4444,False,True,0.5926,0.5,False,,,,
(hr_low) => hr_low before arousal_medium,False,,,True,False,,,False,0.6667,0.2791,,
(hr_low) => hr_low before eda_high,False,,,True,False,,,False,0.5556,0.2326,,
(hr_low) => hr_low before eda_max_high,False,,,True,False,,,False,0.5556,0.2326,,
(hr_low) => hr_low before eda_peaks_medium,True,0.6429,0.5,True,False,,,False,0.6667,0.2791,,
(hr_low) => hr_low before eda_scr_amp_low,True,0.5,0.3889,False,True,0.5,0.375,False,,,,
(hr_low) => hr_low before eda_scr_amp_medium,False,,,True,False,,,False,0.5556,0.2326,,
(hr_low) => hr_low before eda_scr_auc_low,True,0.5714,0.4444,True,False,,,False,0.6667,0.2791,,
(hr_low) => hr_low before eda_std_medium,False,,,True,False,,,False,0.6111,0.2558,,
(hr_low) => hr_low before hr_low,False,,,True,True,0.5417,0.4062,True,0.5,0.2093,0.5769,0.5357
(hr_low) => hr_low contains eda_peaks_medium,False,,,False,False,,,True,,,0.6923,0.6429
(hr_low) => hr_low contains eda_scr_auc_medium,False,,,False,False,,,True,,,0.6538,0.6071
(hr_low) => hr_low contains eda_std_medium,False,,,False,False,,,True,,,0.5385,0.5
(hr_low) => hr_low equals valence_medium,False,,,False,False,,,True,,,0.5769,0.5357
(hr_low) => hr_low is-finished-by eda_scr_amp_low,False,,,False,False,,,True,,,0.5385,0.5
(hr_low) => hr_low is-finished-by eda_std_high,False,,,False,False,,,True,,,0.5,0.4643
(hr_low) => hr_low meets arousal_medium,False,,,False,True,0.5417,0.4062,False,,,,
(hr_low) => hr_low meets eda_high,False,,,False,True,0.5417,0.4062,False,,,,
(hr_low) => hr_low meets eda_medium,False,,,True,False,,,False,0.5,0.2093,,
(hr_low) => hr_low meets eda_peaks_high,False,,,False,True,0.7917,0.5938,True,,,0.7308,0.6786
(hr_low) => hr_low meets eda_scr_auc_medium,True,0.5714,0.4444,True,False,,,False,0.7778,0.3256,,
(hr_low) => hr_low meets eda_std_low,True,0.5714,0.4444,False,False,,,False,,,,
(hr_low) => hr_low meets hr_low,True,0.6429,0.5,False,False,,,False,,,,
(hr_low) => hr_low meets hr_medium,True,0.5714,0.4444,True,True,0.5833,0.4375,False,0.6667,0.2791,,
(hr_low) => hr_low meets valence_medium,False,,,True,True,0.7083,0.5312,False,0.5556,0.2326,,
(hr_low) => hr_low starts arousal_medium,True,0.5,0.3889,False,False,,,False,,,,
(hr_low) => hr_low starts valence_medium,True,0.6429,0.5,False,False,,,False,,,,
(hr_medium) => hr_medium before eda_peaks_high,True,0.5,0.4444,True,False,,,False,0.5455,0.2791,,
(hr_medium) => hr_medium before eda_scr_auc_medium,True,0.5,0.4444,True,False,,,False,0.5909,0.3023,,
(hr_medium) => hr_medium before eda_std_medium,False,,,False,False,,,True,,,0.52,0.4643
(hr_medium) => hr_medium before hr_high,False,,,True,False,,,False,0.5455,0.2791,,
(hr_medium) => hr_medium before hr_medium,True,0.5625,0.5,True,False,,,False,0.5,0.2558,,
(hr_medium) => hr_medium is-finished-by eda_peaks_high,False,,,False,True,0.7407,0.625,False,,,,
(hr_medium) => hr_medium is-finished-by eda_scr_auc_medium,False,,,False,False,,,True,,,0.56,0.5
(hr_medium) => hr_medium meets arousal_medium,False,,,True,False,,,False,0.5455,0.2791,,
(hr_medium) => hr_medium meets eda_high,False,,,False,True,0.5556,0.4688,False,,,,
(hr_medium) => hr_medium meets eda_max_high,False,,,True,False,,,False,0.5,0.2558,,
(hr_medium) => hr_medium meets eda_peaks_high,False,,,False,False,,,True,,,0.6,0.5357
(hr_medium) => hr_medium meets eda_peaks_medium,True,0.5625,0.5,False,True,0.5556,0.4688,True,,,0.68,0.6071
(hr_medium) => hr_medium meets eda_scr_amp_low,True,0.5,0.4444,False,False,,,True,,,0.52,0.4643
(hr_medium) => hr_medium meets eda_scr_auc_high,False,,,True,False,,,False,0.5455,0.2791,,
(hr_medium) => hr_medium meets eda_scr_auc_low,True,0.5625,0.5,False,False,,,False,,,,
(hr_medium) => hr_medium meets eda_std_medium,True,0.5,0.4444,True,False,,,False,0.5455,0.2791,,
(hr_medium) => hr_medium meets hr_medium,False,,,False,True,0.6296,0.5312,True,,,0.56,0.5
(hr_medium) => hr_medium meets valence_high,False,,,False,True,0.5556,0.4688,False,,,,
(hr_medium) => hr_medium meets valence_medium,False,,,True,True,0.5556,0.4688,False,0.6818,0.3488,,
(hr_medium) => hr_medium overlaps eda_std_low,True,0.5,0.4444,False,False,,,False,,,,
(hr_medium) => hr_medium starts arousal_medium,True,0.5,0.4444,False,False,,,False,,,,
(hr_medium) => hr_medium starts eda_peaks_medium,False,,,True,False,,,False,0.5,0.2558,,
(hr_medium) => hr_medium starts eda_scr_amp_medium,False,,,True,False,,,False,0.5,0.2558,,
(hr_medium) => hr_medium starts valence_medium,True,0.625,0.5556,False,False,,,True,,,0.52,0.4643
(hrv_cvnn_high) => hrv_cvnn_high before eda_scr_amp_low,False,,,False,True,0.5385,0.4375,True,,,0.75,0.5357
(hrv_cvnn_high) => hrv_cvnn_high before eda_scr_auc_medium,False,,,False,False,,,True,,,0.7,0.5
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_cvsd_high,True,0.6667,0.5556,True,True,0.7308,0.5938,True,0.725,0.6744,0.65,0.4643
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_pnn20_high,False,,,True,True,0.5385,0.4375,True,0.525,0.4884,0.55,0.3929
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_pnn20_medium,True,0.6667,0.5556,False,False,,,False,,,,
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_pnn50_high,True,0.5333,0.4444,False,True,0.5385,0.4375,True,,,0.6,0.4286
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_rmssd_high,True,0.6667,0.5556,True,True,0.6538,0.5312,True,0.6,0.5581,0.85,0.6071
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_sdnn_high,True,0.9333,0.7778,True,True,0.9615,0.7812,True,0.85,0.7907,1.0,0.7143
(hrv_cvnn_high) => hrv_cvnn_high equals temp_high,True,0.6667,0.5556,False,False,,,False,,,,
(hrv_cvnn_high) => hrv_cvnn_high equals temp_medium,False,,,False,True,0.5,0.4062,False,,,,
(hrv_cvnn_high) => hrv_cvnn_high meets arousal_medium,True,0.5333,0.4444,True,True,0.5769,0.4688,True,0.725,0.6744,0.55,0.3929
(hrv_cvnn_high) => hrv_cvnn_high meets eda_max_low,True,0.5333,0.4444,False,False,,,False,,,,
(hrv_cvnn_high) => hrv_cvnn_high meets eda_peaks_high,True,0.5333,0.4444,False,True,0.5385,0.4375,True,,,0.5,0.3571
(hrv_cvnn_high) => hrv_cvnn_high meets eda_peaks_medium,False,,,True,False,,,False,0.525,0.4884,,
(hrv_cvnn_high) => hrv_cvnn_high meets eda_scr_amp_medium,False,,,True,False,,,False,0.5,0.4651,,
(hrv_cvnn_high) => hrv_cvnn_high meets eda_scr_auc_high,False,,,True,True,0.5769,0.4688,False,0.75,0.6977,,
(hrv_cvnn_high) => hrv_cvnn_high meets eda_scr_auc_low,True,0.6,0.5,False,False,,,False,,,,
(hrv_cvnn_high) => hrv_cvnn_high meets eda_scr_auc_medium,True,0.6667,0.5556,False,False,,,False,,,,
(hrv_cvnn_high) => hrv_cvnn_high meets eda_std_high,False,,,True,True,0.5385,0.4375,False,0.575,0.5349,,
(hrv_cvnn_high) => hrv_cvnn_high meets eda_std_medium,False,,,True,True,0.5385,0.4375,True,0.5,0.4651,0.6,0.4286
(hrv_cvnn_high) => hrv_cvnn_high meets hr_high,False,,,False,False,,,True,,,0.5,0.3571
(hrv_cvnn_high) => hrv_cvnn_high meets valence_medium,True,0.6667,0.5556,True,True,0.6923,0.5625,True,0.625,0.5814,0.55,0.3929
(hrv_cvnn_low) => hrv_cvnn_low before eda_max_low,True,0.5625,0.5,False,False,,,False,,,,
(hrv_cvnn_low) => hrv_cvnn_low before eda_peaks_high,False,,,False,False,,,True,,,0.6667,0.4286
(hrv_cvnn_low) => hrv_cvnn_low before eda_peaks_medium,False,,,True,True,0.5238,0.3438,False,0.5455,0.4186,,
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_cvsd_low,True,0.6875,0.6111,True,True,0.7619,0.5,True,0.7576,0.5814,0.9444,0.6071
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_hfn_low,False,,,False,True,0.5714,0.375,False,,,,
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_pnn20_low,False,,,True,False,,,True,0.6061,0.4651,0.7222,0.4643
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_pnn50_low,False,,,True,True,0.5238,0.3438,True,0.697,0.5349,0.6667,0.4286
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_pnn50_medium,True,0.5625,0.5,False,False,,,False,,,,
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_rmssd_low,True,0.625,0.5556,True,True,0.7619,0.5,True,0.6667,0.5116,0.7222,0.4643
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_sdnn_low,True,0.9375,0.8333,True,True,0.9048,0.5938,True,0.9091,0.6977,0.9444,0.6071
(hrv_cvnn_low) => hrv_cvnn_low equals temp_high,True,0.5,0.4444,False,True,0.5238,0.3438,True,,,0.5,0.3214
(hrv_cvnn_low) => hrv_cvnn_low meets arousal_medium,True,0.5,0.4444,True,True,0.5714,0.375,True,0.7576,0.5814,0.5556,0.3571
(hrv_cvnn_low) => hrv_cvnn_low meets eda_low,True,0.5,0.4444,False,False,,,False,,,,
(hrv_cvnn_low) => hrv_cvnn_low meets eda_max_medium,False,,,True,False,,,False,0.5455,0.4186,,
(hrv_cvnn_low) => hrv_cvnn_low meets eda_medium,False,,,True,False,,,False,0.5152,0.3953,,
(hrv_cvnn_low) => hrv_cvnn_low meets eda_peaks_high,False,,,True,True,0.619,0.4062,False,0.5152,0.3953,,
(hrv_cvnn_low) => hrv_cvnn_low meets eda_peaks_medium,True,0.5625,0.5,False,False,,,True,,,0.5556,0.3571
(hrv_cvnn_low) => hrv_cvnn_low meets eda_scr_amp_high,False,,,True,False,,,False,0.5455,0.4186,,
(hrv_cvnn_low) => hrv_cvnn_low meets eda_scr_amp_low,True,0.5,0.4444,False,False,,,True,,,0.6111,0.3929
(hrv_cvnn_low) => hrv_cvnn_low meets eda_scr_amp_medium,False,,,True,False,,,False,0.5758,0.4419,,
(hrv_cvnn_low) => hrv_cvnn_low meets eda_scr_auc_high,False,,,True,False,,,False,0.6667,0.5116,,
(hrv_cvnn_low) => hrv_cvnn_low meets eda_scr_auc_low,True,0.75,0.6667,False,False,,,False,,,,
(hrv_cvnn_low) => hrv_cvnn_low meets eda_scr_auc_medium,False,,,False,False,,,True,,,0.6111,0.3929
(hrv_cvnn_low) => hrv_cvnn_low meets eda_std_high,False,,,True,False,,,False,0.6061,0.4651,,
(hrv_cvnn_low) => hrv_cvnn_low meets eda_std_low,True,0.5625,0.5,False,False,,,False,,,,
(hrv_cvnn_low) => hrv_cvnn_low meets eda_std_medium,False,,,False,False,,,True,,,0.7222,0.4643
(hrv_cvnn_low) => hrv_cvnn_low meets hr_medium,True,0.625,0.5556,False,False,,,False,,,,
(hrv_cvnn_low) => hrv_cvnn_low meets valence_medium,True,0.6875,0.6111,True,True,0.5714,0.375,True,0.6364,0.4884,0.5,0.3214
(hrv_cvnn_medium) => hrv_cvnn_medium before eda_peaks_high,False,,,False,True,0.56,0.4375,True,,,0.5556,0.3571
(hrv_cvnn_medium) => hrv_cvnn_medium before eda_peaks_medium,True,0.7857,0.6111,True,True,0.72,0.5625,True,0.6765,0.5349,0.6111,0.3929
(hrv_cvnn_medium) => hrv_cvnn_medium before eda_scr_auc_low,False,,,True,False,,,False,0.5,0.3953,,
(hrv_cvnn_medium) => hrv_cvnn_medium before eda_scr_auc_medium,True,0.6429,0.5,True,False,,,True,0.5,0.3953,0.6111,0.3929
(hrv_cvnn_medium) => hrv_cvnn_medium before eda_std_medium,False,,,True,False,,,True,0.5294,0.4186,0.5,0.3214
(hrv_cvnn_medium) => hrv_cvnn_medium before hr_medium,True,0.5,0.3889,False,False,,,False,,,,
(hrv_cvnn_medium) => hrv_cvnn_medium equals hrv_cvsd_medium,False,,,True,False,,,True,0.5882,0.4651,0.5,0.3214
(hrv_cvnn_medium) => hrv_cvnn_medium equals hrv_pnn20_high,True,0.5,0.3889,False,False,,,False,,,,
(hrv_cvnn_medium) => hrv_cvnn_medium equals hrv_pnn20_low,False,,,False,False,,,True,,,0.5556,0.3571
(hrv_cvnn_medium) => hrv_cvnn_medium equals hrv_pnn50_medium,True,0.5,0.3889,False,False,,,False,,,,
(hrv_cvnn_medium) => hrv_cvnn_medium equals hrv_rmssd_medium,False,,,True,False,,,False,0.5294,0.4186,,
(hrv_cvnn_medium) => hrv_cvnn_medium equals hrv_sdnn_medium,True,0.7857,0.6111,True,True,0.64,0.5,True,0.7941,0.6279,0.8333,0.5357
(hrv_cvnn_medium) => hrv_cvnn_medium equals temp_high,True,0.5714,0.4444,False,False,,,False,,,,
(hrv_cvnn_medium) => hrv_cvnn_medium equals temp_medium,False,,,False,False,,,True,,,0.5,0.3214
(hrv_cvnn_medium) => hrv_cvnn_medium meets arousal_medium,True,0.6429,0.5,True,True,0.6,0.4688,True,0.7647,0.6047,0.5556,0.3571
(hrv_cvnn_medium) => hrv_cvnn_medium meets eda_high,False,,,False,False,,,True,,,0.5,0.3214
(hrv_cvnn_medium) => hrv_cvnn_medium meets eda_max_medium,True,0.5714,0.4444,False,False,,,False,,,,
